Year,ST,STATE,TotalPopulation,WorkForce,Employed,EmployedPercent,Unemployed,UnemployedPercent,H_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90
2003,AL,Alabama,"45,03,491",2120238,1992742,93.98671281,127496,6.013287188,15.06,6.37,7.97,11.52,18.33,27.23
2003,AK,Alaska,"6,48,414",331673,305725,92.1766318,25948,7.823368197,19.51,8.38,11.18,16.55,24.64,34
2003,AZ,Arizona,"55,10,364",2736001,2578855,94.25636175,157146,5.743638252,16.14,6.68,8.63,12.76,19.54,28.87
2003,AR,Arkansas,"27,24,816",1271706,1196303,94.07072075,75403,5.929279252,13.72,6.41,7.95,10.99,16.32,23.41
2003,CA,California,"3,52,53,159",17277624,16102841,93.20055234,1174783,6.799447656,19.54,7.52,9.46,14.99,24.28,36.62
2003,CO,Colorado,"45,28,732",2486232,2338206,94.04617107,148026,5.953828927,18.5,7.58,10.04,14.82,22.33,33.67
2003,CT,Connecticut,"34,84,336",1784258,1687923,94.60083687,96335,5.399163126,20.66,8.15,10.94,16.51,25.14,36.61
2003,DE,Delaware,"8,18,003",415161,397472,95.73924333,17689,4.26075667,18.04,7.44,9.66,14.28,21.86,32.78
2003,FL,Florida,"1,70,04,085",8210700,7783152,94.79279477,427548,5.207205232,15.64,6.59,8.36,11.97,18.51,27.75
2003,GA,Georgia,"86,22,793",4394454,4182530,95.17746687,211924,4.822533129,16.77,6.75,8.81,12.97,20.3,30.15
2003,HI,Hawaii,"12,51,154",603124,578324,95.88807608,24800,4.111923916,17.14,7.14,9.52,13.78,20.98,30.61
2003,ID,Idaho,"13,63,380",690013,651338,94.39503314,38675,5.604966863,15.17,6.67,8.54,12.15,18.72,26.54
2003,IL,Illinois,"1,25,56,006",6300230,5874613,93.24442124,425617,6.755578765,17.95,6.8,9.2,14.08,22.31,33.03
2003,IN,Indiana,"61,96,638",3182994,3014660,94.7114572,168334,5.2885428,15.9,6.95,9.06,12.88,19.52,27.5
2003,IA,Iowa,"29,41,999",1606799,1534492,95.49993496,72307,4.500065036,14.88,6.66,8.62,12.22,17.85,25.46
2003,KS,Kansas,"27,23,004",1437030,1357866,94.49113797,79164,5.508862028,15.85,6.84,8.75,12.55,19.36,27.92
2003,KY,Kentucky,"41,17,170",1960055,1839883,93.86894756,120172,6.131052445,15.15,6.69,8.58,12.14,18.26,26.54
2003,LA,Louisiana,"45,21,042",2018325,1888975,93.59122044,129350,6.408779557,14.62,6.2,7.54,11.5,18,26.19
2003,ME,Maine,"13,06,513",683548,649576,95.0300491,33972,4.969950903,15.56,7.31,9.21,12.65,18.57,26.41
2003,MD,Maryland,"54,96,269",2882221,2754524,95.56949311,127697,4.43050689,19.07,7.33,9.95,15.23,23.66,35.71
2003,MA,Massachusetts,"64,22,565",3422415,3226984,94.28967557,195431,5.710324435,20.59,8.33,10.85,16.33,25.23,37.13
2003,MI,Michigan,"1,00,41,152",5027861,4667104,92.82484142,360757,7.175158581,18.32,7.27,9.68,14.48,23.28,33.28
2003,MN,Minnesota,"50,53,572",2874672,2734291,95.11662548,140381,4.883374521,18.34,7.56,10.12,14.86,22.26,32.38
2003,MS,Mississippi,"28,68,312",1301252,1219143,93.69000009,82109,6.309999908,13.13,6.22,7.6,10.73,15.65,22.29
2003,MO,Missouri,"57,09,403",3020820,2850982,94.37775174,169838,5.622248264,16.23,6.87,8.76,12.68,19.68,28.6
2003,MT,Montana,"9,19,630",471492,449267,95.28624028,22225,4.713759724,13.93,6.43,8,11.31,17.16,24.43
2003,NE,Nebraska,"17,38,643",964271,926317,96.06396957,37954,3.936030431,15.23,6.91,8.76,12.12,18.23,26.62
2003,NV,Nevada,"22,48,850",1147043,1088790,94.92146328,58253,5.078536724,16.23,6.9,9.14,12.99,19.71,28.23
2003,NH,New Hampshire,"12,79,840",707521,677030,95.69044594,30491,4.309554063,17.19,7.62,9.76,13.6,20.32,29.65
2003,NJ,New Jersey,"86,01,402",4347155,4093688,94.16935904,253467,5.830640959,19.72,7.29,9.98,15.6,24.59,36.89
2003,NM,New Mexico,"18,77,574",889738,837671,94.14805257,52067,5.851947427,15.27,6.37,8.03,11.84,18.65,27.73
2003,NY,New York,"1,91,75,939",9263403,8672911,93.62553912,590492,6.374460876,20.32,7.19,9.97,15.63,24.92,38.62
2003,NC,North Carolina,"84,22,501",4255635,3984599,93.63112673,271036,6.36887327,15.99,7,8.94,12.57,18.77,27.66
2003,ND,North Dakota,"6,38,817",344685,331855,96.27776085,12830,3.722239146,14.13,6.53,8.19,11.34,16.99,24.42
2003,OH,Ohio,"1,14,34,788",5872373,5505858,93.758656,366515,6.241344002,16.77,6.95,9.19,13.55,20.62,29.03
2003,OK,Oklahoma,"35,04,892",1685576,1593524,94.53884014,92052,5.461159865,14.57,6.42,8.03,11.42,17.45,25.69
2003,OR,Oregon,"35,47,376",1845550,1695909,91.89179377,149641,8.108206226,17.09,7.74,9.65,13.89,20.75,29.76
2003,PA,Pennsylvania,"1,23,74,658",6170366,5821716,94.34960584,348650,5.650394158,16.86,6.78,8.98,13.4,20.68,30.56
2003,RI,Rhode Island,"10,71,342",560483,530567,94.66246077,29916,5.33753923,17.85,7.38,9.66,14.21,21.71,32.17
2003,SC,South Carolina,"41,50,297",1997984,1859772,93.08242709,138212,6.917572914,14.98,6.69,8.55,12.02,17.76,26.11
2003,SD,South Dakota,"7,63,729",423039,408091,96.46651964,14948,3.533480365,13.28,6.73,8.27,10.99,15.38,22.01
2003,TN,Tennessee,"58,47,812",2912193,2748141,94.36671951,164052,5.633280487,15.34,6.73,8.63,12.19,18.12,26.69
2003,TX,Texas,"2,20,30,931",10914689,10185324,93.3175833,729365,6.682416696,16.47,6.46,8.3,12.5,20.04,30.09
2003,UT,Utah,"23,60,137",1200241,1132556,94.36071589,67685,5.63928411,15.88,7.04,8.9,12.45,19.07,27.67
2003,VT,Vermont,"6,17,858",345970,331119,95.70743128,14851,4.29256872,16.11,7.59,9.52,13.09,19.19,27.2
2003,VA,Virginia,"73,66,977",3753711,3599268,95.88559162,154443,4.114408381,17.76,6.93,9.06,13.62,21.63,33.83
2003,WA,Washington,"61,04,115",3127408,2895865,92.59632897,231543,7.403671027,19.04,8.07,10.46,15.66,23.61,34.02
2003,WV,West Virginia,"18,12,295",786558,738993,93.95276636,47565,6.047233643,14.2,6.24,7.66,11.16,17.74,25.29
2003,WI,Wisconsin,"54,79,203",3053648,2879781,94.30625272,173867,5.693747282,16.34,7.27,9.35,13.31,19.95,28.13
2003,WY,Wyoming,"5,03,453",273621,261970,95.74192039,11651,4.258079606,15,6.48,8.27,12.33,19.04,26.58
2003,PR,Puerto Rico,"38,26,095",1345789,1184591,88.02204506,161198,11.97795494,10.41,5.8,6.39,7.92,11.81,17.58
2004,AL,Alabama,"45,30,729",2136463,2014892,94.30970721,121571,5.690292788,15.19,6.41,8.13,11.76,18.48,27.2
2004,AK,Alaska,"6,59,286",336742,311644,92.54681626,25098,7.453183743,19.9,8.72,11.4,16.84,25.06,34.34
2004,AZ,Arizona,"56,52,404",2796272,2655430,94.96322246,140842,5.036777538,16.6,6.83,8.95,13.13,19.99,30.06
2004,AR,Arkansas,"27,49,686",1300325,1226126,94.29381116,74199,5.706188837,13.95,6.42,8.06,11.25,16.72,24.05
2004,CA,California,"3,55,74,576",17383630,16303995,93.78935815,1079635,6.210641851,19.96,7.78,9.66,15.36,25.04,37.87
2004,CO,Colorado,"45,75,013",2532369,2393564,94.51876879,138805,5.481231211,18.95,7.68,10.27,15.26,23.13,34.61
2004,CT,Connecticut,"34,96,094",1774201,1686216,95.04086628,87985,4.959133717,21.02,8.4,11.18,16.88,25.85,37.4
2004,DE,Delaware,"8,30,803",420383,403599,96.00745035,16784,3.992549651,18.57,7.52,9.81,14.63,22.9,33.51
2004,FL,Florida,"1,74,15,318",8440430,8049905,95.37316227,390525,4.626837732,16.02,6.71,8.6,12.36,19.12,28.44
2004,GA,Georgia,"87,69,252",4451804,4239067,95.2213305,212737,4.778669501,17.15,6.78,9,13.29,20.8,31.28
